x,y,theta,v_desired,omega_desired,v_safe,omega_safe
1.5,5.0,-1.5707963267948966,0.17206502795550505,-0.2585813569979769,0.172065,-0.258581
[1.5],[4.96558699],[-1.6225126],0.26360092396815027,-0.09878585667665529,0.263601,-0.0987859
[1.49727472],[4.9129373],[-1.64226977],0.05167587669807627,0.017704807932112487,0.0516759,0.0177048
[1.49653666],[4.90262851],[-1.63872881],0.4656954599988493,1.22792712531729,0.465695,0.785398
[1.49021436],[4.80970424],[-1.48164917],0.4639336830677733,2.82292252867376,0.463934,0.785398
[1.49847508],[4.71728596],[-1.32456954],0.4583452227603744,-0.19626540498074618,0.458345,-0.196265
[1.52081907],[4.62838175],[-1.36382262],0.378855282718302,-1.4399789560028762,0.378855,-0.785398
[1.53638996],[4.55422785],[-1.52090226],0.35785667167137325,-0.9041026082360086,0.357857,-0.785398
[1.53995946],[4.48274558],[-1.67798189],0.06221187785955873,0.3164609320472489,0.0622119,0.316461
[1.53862837],[4.47037461],[-1.6146897],0.3887708439338678,-1.7287230656456012,0.388771,-0.785398
[1.53521657],[4.39269534],[-1.77176934],0.02782688620469913,-2.10337570523099,0.0278269,-0.785398
[1.53410559],[4.38724197],[-1.92884897],0.5606439115084669,2.58738721514392,0.560644,0.785398
[1.49480995],[4.28222429],[-1.77176934],0.508094141696157,0.007708869216492165,0.50753,0.00764092
[1.47454703],[4.1827613],[-1.77024115],0.4646641190147801,-2.3397253579803103,0.464333,-0.78535
[1.45614781],[4.09173558],[-1.92731111],0.057530754384194034,0.5976248908334427,0.0575697,0.597524
[1.45212933],[4.08094566],[-1.80780638],0.3833665286298935,-0.9773532784779935,0.383364,-0.785393
[1.43412675],[4.00641625],[-1.96488505],0.31563339772116117,1.0931254191304651,0.315633,0.785398
[1.40988819],[3.94812843],[-1.80780542],0.0823678266646445,0.22975577251874402,0.0823678,0.229756
[1.40602026],[3.93211539],[-1.76185426],0.591314674902969,-1.3048921219428582,0.586039,-0.785253
[1.38376277],[3.81704032],[-1.91890495],0.5207180012297398,0.7391122285065008,0.520718,0.739112
[1.34823725],[3.71914329],[-1.77108251],0.37369699490719493,0.2079239270486286,0.373694,0.207923
[1.33336797],[3.6458985],[-1.72949793],0.3314730344200682,0.8774993703635214,0.331473,0.785398
[1.32289102],[3.58043699],[-1.57241829],0.24762427071869397,-2.808363889597338,0.247624,-0.785398
[1.32281069],[3.5309122],[-1.72949793],0.2284936302272574,-0.9485636849223686,0.228494,-0.785398
[1.31558864],[3.48578776],[-1.88657756],0.2595029479318117,-2.7600637450532592,0.259503,-0.785398
[1.29947043],[3.43645344],[-2.0436572],0.1838712146361047,-2.1909665756678915,0.183871,-0.785398
[1.28272215],[3.40371448],[-2.20073683],0.3448510811550482,2.1782316053742186,0.344851,0.785398
[1.24209203],[3.34798223],[-2.0436572],0.04032944831496277,-1.0128513797784606,0.0403294,-0.785398
[1.23841854],[3.34080142],[-2.20073683],0.45110979256838135,-2.079152353970032,0.45111,-0.785398
[1.18526908],[3.26789643],[-2.35781646],0.026440362887198643,1.1476346463831257,0.0264404,0.785398
[1.18152379],[3.26416327],[-2.20073683],0.4366120026161898,3.0171315035211324,0.436612,0.785398
[1.13008246],[3.19360131],[-2.04365719],0.08548374354641317,0.6333400165302279,0.0854837,0.63334
[1.122296],[3.1783806],[-1.91698919],0.32401512517422737,-1.0764574702650322,0.324015,-0.785398
[1.1003071],[3.11742226],[-2.07406883],0.36562025920363433,-2.534229316382663,0.36562,-0.785398
[1.06503975],[3.05336493],[-2.23114846],0.11833479351862912,-1.3948821720611533,0.118335,-0.785398
[1.05052255],[3.03467333],[-2.3882281],0.053283465722832775,-1.0817421495215127,0.0532835,-0.785398
[1.04274965],[3.02738312],[-2.54530773],0.3128542904408625,-0.07553766736686329,0.312854,-0.0755377
[0.9909768],[2.99224506],[-2.56041526],0.48659003562624875,-0.8976328256324031,0.485953,-0.784732
[0.90974324],[2.93888659],[-2.71736174],0.3381206970008207,0.42640332942275716,0.338115,0.426401
[0.84811465],[2.91105161],[-2.63208149],0.10245731884105198,-2.909024447550329,0.102457,-0.785398
[0.83022595],[2.90105689],[-2.78916113],0.4307073015893501,1.6599203137294607,0.430707,0.785398
[0.74937908],[2.8713225],[-2.63208149],0.14729879421242797,1.5771426507482174,0.147299,0.785398
[0.72366121],[2.85695349],[-2.47500186],0.0007099918451094921,-1.0812594753350302,0.000705756,-0.785395
[0.72355027],[2.85686622],[-2.63208087],0.37378010447305,-1.1075827705075385,0.37378,-0.785398
[0.65828956],[2.82040388],[-2.7891605],0.07854012085003133,-2.021394725035946,0.0785401,-0.785398
[0.64354702],[2.81498177],[-2.94624014],0.5038918336972906,-2.8243013720621333,0.503892,-0.785398
[0.54468553],[2.79541944],[-3.10331977],0.25143473683878537,-2.6152701663952507,0.251435,-0.785398
[0.49443542],[2.79349528],[-3.26039941],0.5803780413844605,0.9310235148760944,0.0563335,0.785392
[0.48324814],[2.7948307],[-3.10332104],0.27102031842163815,1.088515697767697,1.6317e-06,0.785398
[0.48324781],[2.79483069],[-2.9462414],0.17289834065318185,-1.406645102317884,1.74684e-09,-0.785398
[0.48324781],[2.79483069],[-3.10332104],0.46248933840209105,2.249111726280672,-1.99182e-06,0.785398
[0.48324821],[2.7948307],[-2.94624153],0.5199116233652836,-0.5570683530038139,1.90477e-06,-0.557068
[0.48324784],[2.79483063],[-3.0576552],0.004975322962758755,2.1044808456114215,-0.000179202,0.785397
[0.48328355],[2.79483363],[-2.9005757],0.5567375934044376,-0.08764489185176805,0.000172671,-0.0876449
[0.48325002],[2.79482539],[-2.91810468],0.32334510888906776,1.0780212769685962,-3.01597e-09,0.785398
[0.48325002],[2.79482539],[-2.76102505],0.20335814704951108,-2.255923230646668,-2.31846e-09,-0.785398
[0.48325002],[2.79482539],[-2.91810468],0.3004730862878641,2.236332633234662,2.06174e-09,0.785398
